Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-01-02,0.0033569,0.0033589,0.0033363,0.0033363
2019-01-03,0.003382,0.003382,0.0033465,0.0033487
2019-01-04,0.0033485,0.0033555,0.0033349,0.003352
2019-01-07,0.0033725,0.0033725,0.0033549,0.0033566
2019-01-08,0.0033498,0.0033528,0.0033395,0.0033403
2019-01-09,0.0033421,0.0033531,0.003336,0.0033408
2019-01-10,0.0033252,0.0033312,0.0033209,0.0033278
2019-01-11,0.0033392,0.0033408,0.0033333,0.0033372
2019-01-14,0.0033457,0.0033463,0.0033278,0.0033324
2019-01-15,0.0033327,0.0033405,0.0033327,0.0033376
2019-01-16,0.0033477,0.0033611,0.0033469,0.0033597
2019-01-17,0.0033547,0.0033558,0.0033488,0.0033518
2019-01-18,0.0033552,0.0033605,0.0033539,0.0033593
2019-01-21,0.0033503,0.0033523,0.0033403,0.0033422
2019-01-22,0.0033258,0.0033379,0.0033257,0.0033353
2019-01-23,0.0033359,0.0033505,0.0033349,0.0033455
2019-01-24,0.003345,0.0033474,0.0033345,0.0033359
2019-01-25,0.0033617,0.003373,0.0033585,0.003373
2019-01-28,0.0033559,0.0033688,0.0033559,0.0033637
2019-01-29,0.0033507,0.0033648,0.0033496,0.0033614
2019-01-30,0.0033573,0.0033643,0.0033573,0.0033607
2019-01-31,0.0033622,0.0033622,0.0033499,0.0033568
2019-02-01,0.0033475,0.0033512,0.0033315,0.0033342
2019-02-07,0.0033682,0.003373,0.0033643,0.003365
2019-02-08,0.0033781,0.0033834,0.003372,0.003381
2019-02-11,0.0033882,0.0033899,0.0033825,0.0033825
2019-02-12,0.0034044,0.0034151,0.0034025,0.0034143
2019-02-13,0.0034068,0.0034082,0.0033988,0.0034042
2019-02-14,0.0034251,0.0034255,0.0034156,0.0034204
2019-02-15,0.0033947,0.0034041,0.0033944,0.0034023
2019-02-18,0.0034047,0.0034073,0.0034023,0.0034033
2019-02-19,0.0034029,0.0034036,0.0033959,0.0033973
2019-02-20,0.0034024,0.0034052,0.0033962,0.0034032
2019-02-21,0.0034009,0.003402,0.0033922,0.0033988
2019-02-22,0.0033973,0.003398,0.0033927,0.0033959
2019-02-25,0.003408,0.003415,0.0034025,0.0034107
2019-02-26,0.0034149,0.0034167,0.0034114,0.0034134
2019-02-27,0.0034027,0.003404,0.0033949,0.0034023
2019-02-28,0.0033956,0.0033963,0.0033862,0.0033862
2019-03-04,0.0033568,0.0033684,0.0033551,0.0033675
2019-03-05,0.0033576,0.0033724,0.0033575,0.0033722
2019-03-06,0.0033749,0.0033802,0.0033705,0.0033726
2019-03-07,0.0033686,0.003374,0.0033649,0.003368
2019-03-08,0.0033971,0.003404,0.0033871,0.003388
2019-03-11,0.0033752,0.0033795,0.0033726,0.0033748
2019-03-12,0.0033751,0.0033879,0.0033751,0.0033842
2019-03-13,0.0033764,0.0033765,0.0033614,0.0033653
2019-03-14,0.0033559,0.0033592,0.0033469,0.0033478
2019-03-15,0.0033497,0.0033556,0.0033401,0.0033419
2019-03-18,0.0033446,0.0033534,0.003342,0.0033511
2019-03-19,0.0033449,0.003351,0.0033423,0.0033473
2019-03-20,0.00334,0.0033463,0.0033392,0.0033448
2019-03-21,0.0033252,0.0033294,0.0033223,0.0033246
2019-03-22,0.0033383,0.0033437,0.0033313,0.0033337
2019-03-25,0.0033502,0.0033562,0.0033493,0.0033535
2019-03-26,0.0033423,0.0033524,0.003342,0.0033497
2019-03-27,0.0033536,0.003363,0.003352,0.0033588
2019-03-28,0.0033487,0.003357,0.0033487,0.0033539
2019-03-29,0.0033698,0.0033708,0.0033645,0.0033653
2019-04-01,0.0033703,0.0033872,0.0033703,0.0033809
2019-04-02,0.003383,0.0033844,0.0033728,0.0033728
2019-04-03,0.0033723,0.0033778,0.0033716,0.0033737
2019-04-04,0.0033636,0.003366,0.0033556,0.0033601
2019-04-05,0.0033645,0.0033647,0.0033603,0.0033619
2019-04-08,0.0033612,0.0033632,0.0033414,0.0033428
2019-04-09,0.0033348,0.0033348,0.0033282,0.0033314
2019-04-10,0.0033336,0.0033395,0.0033282,0.0033385
2019-04-11,0.0033363,0.0033363,0.0033277,0.003334
2019-04-12,0.0033312,0.0033318,0.0033244,0.0033291
2019-04-15,0.0033362,0.003343,0.0033324,0.0033415
2019-04-16,0.0033308,0.003333,0.003328,0.0033282
2019-04-17,0.0033288,0.003335,0.0033245,0.0033299
2019-04-18,0.0033396,0.0033396,0.0033236,0.0033252
2019-04-22,0.0033491,0.0033491,0.0033314,0.003332
2019-04-23,0.003336,0.0033442,0.0033345,0.003335
2019-04-24,0.0033407,0.0033423,0.0033214,0.0033258
2019-04-25,0.0033328,0.0033342,0.0033211,0.003323
2019-04-26,0.0033223,0.0033326,0.0033166,0.0033194
2019-04-29,0.0033251,0.0033281,0.0033222,0.0033241
2019-04-30,0.0033096,0.0033112,0.0032887,0.0032907
2019-05-02,0.0032812,0.0032918,0.00328,0.0032808
2019-05-03,0.0032883,0.0032886,0.0032751,0.0032817
2019-05-07,0.0032714,0.0032731,0.0032581,0.0032695
2019-05-08,0.00327,0.0032777,0.0032694,0.0032765
2019-05-09,0.0032676,0.0032731,0.0032519,0.003252
2019-05-10,0.0032467,0.0032572,0.0032385,0.0032554
2019-05-13,0.0032545,0.0032561,0.0032294,0.0032316
2019-05-14,0.003227,0.0032351,0.0032239,0.0032266
2019-05-15,0.0032375,0.0032377,0.003228,0.00323
2019-05-16,0.0032328,0.0032334,0.0032183,0.0032189
2019-05-17,0.0032317,0.003236,0.0032211,0.0032233
2019-05-20,0.0032279,0.0032356,0.0032271,0.003233
2019-05-21,0.0032232,0.0032308,0.0032229,0.0032264
2019-05-22,0.0032339,0.0032353,0.0032265,0.0032302
2019-05-23,0.0032414,0.003248,0.0032335,0.0032464
2019-05-24,0.0032349,0.0032387,0.0032328,0.0032356
2019-05-27,0.0032338,0.0032367,0.0032302,0.0032354
2019-05-28,0.0032387,0.0032387,0.0032262,0.0032268
2019-05-29,0.00324,0.00324,0.0032218,0.003224
2019-05-30,0.0032311,0.0032458,0.003231,0.0032425
2019-05-31,0.0032421,0.0032425,0.0032284,0.003236
2019-06-03,0.0032236,0.0032475,0.0032209,0.0032461
2019-06-04,0.0032303,0.0032306,0.0032162,0.0032176
2019-06-05,0.0032292,0.0032292,0.0032164,0.0032177
2019-06-07,0.0032124,0.0032181,0.0032113,0.0032133
2019-06-10,0.0031833,0.0031859,0.0031776,0.0031801
2019-06-11,0.0031826,0.0031945,0.0031782,0.0031885
2019-06-12,0.0031935,0.0031937,0.0031793,0.0031793
2019-06-13,0.0031844,0.0031861,0.0031739,0.0031857
2019-06-14,0.0031919,0.003192,0.0031855,0.0031897
2019-06-17,0.0031992,0.0032013,0.0031954,0.0032001
2019-06-18,0.0032028,0.0032057,0.0031978,0.003201
2019-06-19,0.0032403,0.0032419,0.0032296,0.0032411
2019-06-20,0.0032378,0.0032495,0.0032275,0.0032494
2019-06-21,0.0032513,0.0032513,0.0032352,0.0032399
2019-06-24,0.0032241,0.0032345,0.0032222,0.0032345
2019-06-25,0.0032334,0.0032336,0.0032269,0.0032311
2019-06-26,0.0032365,0.0032387,0.0032311,0.0032372
2019-06-27,0.0032473,0.0032479,0.0032391,0.00324
2019-06-28,0.0032325,0.0032399,0.0032294,0.0032378
2019-07-01,0.0032301,0.0032456,0.0032298,0.0032341
2019-07-02,0.003236,0.0032366,0.0032193,0.0032214
2019-07-03,0.0032226,0.0032234,0.0032072,0.0032084
2019-07-04,0.0032109,0.003216,0.003208,0.0032141
2019-07-05,0.003218,0.0032187,0.0032114,0.003213
2019-07-08,0.0032231,0.0032235,0.0032076,0.0032083
2019-07-09,0.0032165,0.0032193,0.0032141,0.0032165
2019-07-10,0.0032227,0.0032289,0.0032212,0.0032225
2019-07-11,0.0032226,0.003232,0.0032151,0.0032299
2019-07-12,0.0032301,0.0032303,0.0032131,0.0032142
2019-07-15,0.0032175,0.0032179,0.0032075,0.0032115
2019-07-16,0.0032089,0.0032168,0.0032034,0.0032166
2019-07-17,0.0032204,0.0032221,0.0032139,0.0032148
2019-07-18,0.0032192,0.0032283,0.0032088,0.0032233
2019-07-19,0.0032242,0.0032259,0.0032158,0.0032173
2019-07-22,0.003223,0.0032235,0.0032148,0.0032184
2019-07-23,0.0032232,0.0032237,0.0032159,0.0032218
2019-07-24,0.0032369,0.0032455,0.003236,0.0032414
2019-07-25,0.0032396,0.0032403,0.0032339,0.0032355
2019-07-26,0.0032282,0.0032286,0.0032209,0.0032262
2019-07-29,0.00324,0.0032469,0.0032383,0.0032442
2019-07-30,0.0032514,0.0032613,0.003251,0.0032589
2019-07-31,0.0032616,0.003264,0.0032563,0.0032603
2019-08-01,0.0032615,0.00327,0.0032581,0.0032657
2019-08-02,0.0032529,0.0032602,0.0032476,0.0032482
2019-08-05,0.0032202,0.0032226,0.0031871,0.0031878
2019-08-06,0.0031571,0.0031862,0.0031512,0.0031732
2019-08-07,0.0031769,0.0031773,0.0031665,0.0031727
2019-08-08,0.0031807,0.0031893,0.0031717,0.0031824
2019-08-09,0.0032003,0.0032003,0.003189,0.0031914
2019-08-12,0.0031778,0.0031789,0.0031719,0.0031746
2019-08-13,0.0031699,0.0031748,0.0031671,0.0031702
2019-08-14,0.0032141,0.0032145,0.0031951,0.0031988
2019-08-16,0.0032466,0.0032544,0.0032412,0.0032526
2019-08-19,0.0032384,0.0032402,0.0032284,0.0032344
2019-08-20,0.003255,0.0032615,0.0032465,0.0032605
2019-08-21,0.0032591,0.0032757,0.003249,0.0032683
2019-08-22,0.0032607,0.003261,0.0032505,0.0032543
2019-08-23,0.0032507,0.0032543,0.0032395,0.0032537
2019-08-26,0.0032386,0.0032388,0.003224,0.003227
2019-08-27,0.0032417,0.0032427,0.003232,0.0032381
