Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-01-02,0.000897175,0.000897666,0.000892069,0.000893088
2019-01-03,0.000890575,0.000890964,0.00088505,0.000885669
2019-01-04,0.000888905,0.000890837,0.000886769,0.000889601
2019-01-07,0.000896636,0.000896636,0.000893224,0.000893543
2019-01-08,0.000895039,0.000895079,0.000889047,0.000889434
2019-01-09,0.000891297,0.000893583,0.00088964,0.000891139
2019-01-10,0.0008932,0.000895183,0.000891655,0.000894294
2019-01-11,0.000894991,0.000896363,0.000893152,0.000895464
2019-01-14,0.000893711,0.000893791,0.000890012,0.000891019
2019-01-15,0.000890908,0.000893991,0.000890908,0.000893072
2019-01-16,0.000890432,0.000893216,0.000889672,0.000893216
2019-01-17,0.000893041,0.000893296,0.000891194,0.000891393
2019-01-18,0.000891758,0.000892586,0.000891043,0.000891886
2019-01-21,0.000887634,0.000889339,0.000886572,0.000886894
2019-01-22,0.000882433,0.000885755,0.00088241,0.000884345
2019-01-23,0.000884447,0.000888068,0.00088433,0.000887099
2019-01-24,0.000888044,0.000888605,0.000884948,0.000885308
2019-01-25,0.00088669,0.000890924,0.000886108,0.000890892
2019-01-28,0.000893559,0.000896821,0.000893559,0.000894831
2019-01-29,0.000892339,0.000896138,0.000892339,0.000895359
2019-01-30,0.000893927,0.000895865,0.000893927,0.00089552
2019-01-31,0.000901177,0.000901803,0.000898319,0.000901006
2019-02-01,0.000899087,0.000900058,0.000893807,0.000894142
2019-02-07,0.000891059,0.000892204,0.00088945,0.000889506
2019-02-08,0.000889442,0.000890845,0.000887571,0.000890052
2019-02-11,0.000889846,0.000890631,0.000888399,0.000888549
2019-02-12,0.00088821,0.000890361,0.0008875,0.00089002
2019-02-13,0.000891933,0.000892785,0.000890226,0.000892092
2019-02-14,0.000889237,0.000889521,0.000888305,0.000889411
2019-02-15,0.000885512,0.000887579,0.000885481,0.000886831
2019-02-18,0.000887997,0.000890218,0.000887997,0.000888368
2019-02-19,0.000888818,0.000889015,0.000886407,0.000886423
2019-02-20,0.000891059,0.000892252,0.000889569,0.000890734
2019-02-21,0.000890964,0.00089117,0.000888028,0.000888533
2019-02-22,0.000888865,0.000889007,0.000887729,0.000888447
