Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-01-02,3.74041,3.79614,3.73016,3.7909
2019-01-03,3.79083,3.8013,3.76044,3.7676
2019-01-04,3.76722,3.78643,3.75614,3.76007
2019-01-07,3.76035,3.76282,3.74148,3.74356
2019-01-08,3.74346,3.76799,3.74129,3.75583
2019-01-09,3.75578,3.75791,3.72123,3.72393
2019-01-10,3.72394,3.73843,3.71814,3.73625
2019-01-11,3.7364,3.74917,3.72128,3.74363
2019-01-14,3.74505,3.75277,3.73641,3.7431
2019-01-15,3.74305,3.77433,3.73447,3.76473
2019-01-16,3.76473,3.76833,3.75215,3.7574
2019-01-17,3.75732,3.7707,3.75512,3.76465
2019-01-18,3.76485,3.7791,3.76059,3.77184
2019-01-21,3.77411,3.77955,3.76523,3.76997
2019-01-22,3.7698,3.77981,3.76755,3.7717
2019-01-23,3.77183,3.77874,3.76604,3.76724
2019-01-24,3.76724,3.80159,3.76639,3.79371
2019-01-25,3.79382,3.79487,3.75458,3.75549
2019-01-28,3.75738,3.76957,3.74938,3.7563
2019-01-29,3.7558,3.76518,3.74875,3.7561
2019-01-30,3.7561,3.76102,3.72389,3.7322
2019-01-31,3.73195,3.7325,3.70769,3.72365
2019-02-01,3.72331,3.74648,3.71996,3.74389
2019-02-04,3.74051,3.75182,3.73615,3.7473
2019-02-05,3.74735,3.76085,3.7455,3.7584
2019-02-06,3.75875,3.78353,3.75715,3.77748
2019-02-07,3.77748,3.7999,3.77748,3.7973
2019-02-08,3.79735,3.81089,3.79381,3.81036
2019-02-11,3.8096,3.8394,3.80346,3.83418
2019-02-12,3.83433,3.84475,3.81853,3.82022
2019-02-13,3.82039,3.85635,3.81544,3.85411
2019-02-14,3.85437,3.85962,3.83183,3.83321
2019-02-15,3.83323,3.857,3.82842,3.83638
2019-02-18,3.83484,3.8359,3.81966,3.82835
2019-02-19,3.82839,3.84597,3.81399,3.81889
2019-02-20,3.81904,3.83349,3.8095,3.81685
2019-02-21,3.81709,3.83216,3.80893,3.82308
2019-02-22,3.8233,3.8328,3.81595,3.82832
2019-02-25,3.82633,3.82895,3.81361,3.81904
2019-02-26,3.819,3.82295,3.79199,3.79493
2019-02-27,3.79509,3.80518,3.78524,3.79326
2019-02-28,3.79344,3.79685,3.77195,3.785
2019-03-01,3.78419,3.79159,3.77333,3.78635
2019-03-04,3.78388,3.80265,3.7823,3.79168
2019-03-05,3.79158,3.80956,3.7901,3.8056
2019-03-06,3.80548,3.80993,3.79504,3.80075
2019-03-07,3.80076,3.85942,3.79831,3.85438
2019-03-08,3.85356,3.85612,3.82164,3.82965
2019-03-11,3.82892,3.8343,3.81592,3.81755
2019-03-12,3.81765,3.82656,3.80352,3.80682
2019-03-13,3.80692,3.81466,3.79223,3.79223
2019-03-14,3.79214,3.81066,3.79214,3.80585
2019-03-15,3.80585,3.80891,3.79215,3.79615
2019-03-18,3.79586,3.79901,3.78222,3.78565
2019-03-19,3.78602,3.7873,3.77391,3.77656
2019-03-20,3.77655,3.78138,3.73963,3.74622
2019-03-21,3.74621,3.78064,3.74099,3.7667
2019-03-22,3.76702,3.8143,3.75756,3.8044
2019-03-25,3.80595,3.80808,3.78722,3.79263
2019-03-26,3.79254,3.81035,3.78973,3.80588
2019-03-27,3.80578,3.82103,3.80479,3.81575
2019-03-28,3.81584,3.83163,3.81303,3.82597
2019-03-29,3.82602,3.83997,3.81951,3.83745
2019-04-01,3.8311,3.83606,3.82234,3.83336
2019-04-02,3.83341,3.84391,3.83023,3.8356
2019-04-03,3.83426,3.83595,3.81008,3.81595
2019-04-04,3.81615,3.8305,3.81308,3.82208
2019-04-05,3.82203,3.82875,3.81313,3.82418
2019-04-08,3.82659,3.8268,3.80135,3.80675
2019-04-09,3.80685,3.80925,3.79648,3.8038
2019-04-10,3.8038,3.81256,3.79374,3.79625
2019-04-11,3.7963,3.80643,3.79138,3.8047
2019-04-12,3.8047,3.80483,3.7757,3.78726
2019-04-15,3.78588,3.78682,3.77552,3.78215
2019-04-16,3.78215,3.78979,3.77681,3.78662
2019-04-17,3.78662,3.79043,3.77465,3.78
2019-04-18,3.7801,3.81357,3.778,3.80903
2019-04-22,3.80665,3.80941,3.80148,3.8047
2019-04-23,3.80505,3.83228,3.80405,3.81866
2019-04-24,3.8186,3.85579,3.81602,3.85163
2019-04-25,3.85163,3.86441,3.846,3.8551
2019-04-26,3.8551,3.8594,3.8412,3.85397
2019-04-29,3.85322,3.85445,3.83555,3.83942
2019-04-30,3.83871,3.84348,3.815,3.82155
2019-05-01,3.8214,3.82993,3.80045,3.82605
2019-05-02,3.82605,3.83677,3.8152,3.83597
2019-05-03,3.836,3.8485,3.8168,3.81851
2019-05-06,3.8288,3.83175,3.82209,3.82502
2019-05-07,3.82498,3.8431,3.8174,3.83273
2019-05-08,3.83278,3.839,3.82528,3.8343
2019-05-09,3.8342,3.84638,3.82178,3.83165
2019-05-10,3.8316,3.83295,3.81935,3.82614
2019-05-13,3.82406,3.83775,3.81939,3.83515
2019-05-14,3.835,3.84647,3.82855,3.84465
2019-05-15,3.84462,3.8562,3.83541,3.83739
2019-05-16,3.83758,3.85314,3.82425,3.8498
2019-05-17,3.84995,3.86104,3.84685,3.8598
2019-05-20,3.8568,3.86,3.8461,3.8488
2019-05-21,3.84865,3.86715,3.84697,3.8576
2019-05-22,3.8576,3.86682,3.84958,3.86001
2019-05-23,3.86008,3.87732,3.84825,3.84875
2019-05-24,3.84875,3.8523,3.82712,3.82938
2019-05-27,3.829,3.83878,3.82708,3.8321
2019-05-28,3.8321,3.85095,3.83151,3.84812
2019-05-29,3.84815,3.8633,3.84655,3.85585
2019-05-30,3.85585,3.85855,3.8483,3.85488
2019-05-31,3.85485,3.85579,3.83019,3.83271
2019-06-03,3.8344,3.83702,3.80093,3.8065
2019-06-04,3.80645,3.81258,3.79623,3.80178
2019-06-05,3.80153,3.8125,3.78347,3.80878
2019-06-06,3.80898,3.8161,3.7819,3.78877
2019-06-07,3.78875,3.79998,3.75385,3.7581
2019-06-10,3.76169,3.77794,3.75998,3.76665
2019-06-11,3.76692,3.77566,3.76023,3.76348
2019-06-12,3.76363,3.77218,3.7559,3.76792
2019-06-13,3.76801,3.77761,3.76496,3.77379
2019-06-14,3.77379,3.80048,3.76796,3.79863
2019-06-17,3.79742,3.80103,3.78783,3.79709
2019-06-18,3.79701,3.81286,3.79118,3.80418
